id,pillar,title,empathy_hook,info_core,sources,keywords,season,empathy,info,ai_fit,risk
H01,건강,갱년기 증상 남녀 모두 온다,요즘 괜히 화가 나고 밤에 잠이 안 와요,여성·남성 갱년기 주요 증상과 자가진단 / 병원에 가야 할 신호 / 호르몬 치료에 대한 흔한 오해,질병관리청 국가건강정보포털;대한폐경학회,갱년기 증상;남성 갱년기;갱년기 자가진단,all,5,4,4,high
H02,건강,건강검진 결과표 제대로 읽는 법,결과지를 받아도 뭐가 문제인지 모르겠어요,공복혈당·LDL콜레스테롤·간수치(AST/ALT/감마GTP)·eGFR 읽는 법 / 재검·추가검사가 필요한 기준,국민건강보험공단;질병관리청 국가건강정보포털,건강검진 결과 보는법;간수치 높으면;공복혈당 정상수치,10;11;12,4,5,5,high
H03,건강,혈압·혈당 경계선 약을 먹어야 할까,약 한번 먹기 시작하면 평생 먹어야 한다던데요,고혈압·당뇨 전단계 기준 / 생활습관 교정의 실제 효과 / 약 복용에 대한 오해와 진실,대한고혈압학회;대한당뇨병학회;질병관리청 국가건강정보포털,고혈압 전단계;당뇨 전단계;혈압약 평생,all,5,5,4,high
H04,건강,걷기만으로는 부족한 50대 근감소,매일 걷는데 다리는 점점 가늘어져요,근감소증 자가체크(종아리 둘레·의자 일어서기) / 하루 단백질 섭취 기준 / 집에서 하는 근력운동,질병관리청 국가건강정보포털;대한노인병학회,근감소증;50대 근력운동;단백질 하루 섭취량,all,4,5,4,med
H05,건강,새벽 3시에 깨는 중년 불면,눕기만 하면 잠이 안 오고 새벽에 꼭 깨요,중년 수면 변화의 원인 / 수면위생 수칙 / 수면제에 대한 오해 / 수면무호흡 의심 신호,대한수면학회;질병관리청 국가건강정보포털,새벽에 깨는 이유;중년 불면증;수면무호흡,all,5,4,5,med
H06,건강,노안과 백내장 구별법,스마트폰 글씨가 안 보여서 팔을 쭉 뻗게 돼요,노안 시작 시기와 교정 방법 / 백내장 증상과 수술 시기 / 다초점렌즈 비용과 실손보험 쟁점,대한안과학회;질병관리청 국가건강정보포털,노안 증상;백내장 수술 시기;다초점 렌즈,all,4,5,4,med
H07,건강,팔이 안 올라가는 오십견 vs 회전근개 파열,머리 감을 때 어깨가 아파서 팔이 안 올라가요,오십견과 회전근개 파열 구분법 / 집에서 하는 스트레칭 / 병원에 가야 할 때,대한정형외과학회;질병관리청 국가건강정보포털,오십견;회전근개 파열;어깨 통증,all,4,4,4,med
H08,건강,치과 비용 아끼는 건강보험 혜택,치과는 아파도 돈 걱정에 자꾸 미루게 돼요,만 19세 이상 스케일링 연 1회 건강보험 / 만 65세 이상 임플란트 평생 2개 건강보험 / 잇몸병 조기 관리,국민건강보험공단,스케일링 건강보험;임플란트 건강보험;잇몸 치료,all,4,5,5,med
H09,건강,중년 뱃살과 대사증후군 5가지 기준,나잇살이라고 넘겼는데 검진에서 경고를 받았어요,대사증후군 5가지 진단 기준(허리둘레·혈압·혈당·중성지방·HDL) / 위험성 / 생활 관리법,질병관리청 국가건강정보포털;국민건강보험공단,대사증후군 기준;뱃살 빼는법;중성지방,all,4,5,5,med
M01,돈·노후,국민연금 언제 받을까: 조기수령 vs 연기수령,당장 돈이 필요한데 깎여도 먼저 받을까요,출생연도별 수령 나이(1969년생 이후 65세) / 조기수령 1년당 6% 감액(최대 5년) / 연기수령 1년당 7.2% 증액(최대 5년) / 손익분기 계산,국민연금공단;내곁에국민연금 앱,국민연금 조기수령;국민연금 연기수령;국민연금 수령나이,all,4,5,5,med
M02,돈·노후,퇴직금과 퇴직연금(DB·DC·IRP) 한 번에 정리,퇴직하면 IRP로 받으라는데 왜 그래야 하죠,DB형과 DC형 차이 / IRP로 옮겨 연금으로 받으면 퇴직소득세 30~40% 감면 / 중도인출 조건,고용노동부;금융감독원 통합연금포털,퇴직연금 DB DC 차이;IRP 퇴직금;퇴직소득세,all,3,5,5,med
M03,돈·노후,은퇴 후 건강보험료 폭탄 피하는 법,회사 그만뒀더니 건보료가 몇 배로 나왔어요,피부양자 자격(연소득 2천만원 이하 등) / 퇴직 후 임의계속가입(최대 36개월) / 지역가입자 보험료 산정 구조,국민건강보험공단,피부양자 자격 조건;임의계속가입;퇴직 후 건강보험료,all,5,5,5,med
