rank,id,pillar,title,total,demand,proven,empathy,info,ai_fit,timely,coverage,notes
1,M03,돈·노후,은퇴 후 건강보험료 폭탄 피하는 법,87.9,,,100.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
2,M04,돈·노후,노후 생활비 현실 계산: 우리 부부 얼마 필요할까,87.9,,,100.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
3,F03,가족,부모님 장기요양등급 신청 A to Z,87.9,,,100.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
4,F09,가족,부모님 돌아가신 뒤 해야 할 일 순서,87.9,,,100.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
5,H02,건강,건강검진 결과표 제대로 읽는 법,84.9,,,75.0,100.0,100.0,100.0,0.55,지금이 제철 / YMYL 위험도 high: 전문가 검수·출처 표기 필수
6,M10,돈·노후,내 보험·휴면예금·카드포인트 숨은 돈 찾기,81.8,,,75.0,100.0,100.0,50.0,0.55,
7,L01,생활·디지털,보이스피싱·스미싱 최신 수법과 대처,81.8,,,75.0,100.0,100.0,50.0,0.55,
8,H05,건강,새벽 3시에 깨는 중년 불면,81.1,,,100.0,75.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
9,F08,가족,자녀 결혼 비용 어디까지 지원할까,81.1,,,100.0,75.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
10,H03,건강,혈압·혈당 경계선 약을 먹어야 할까,80.4,,,100.0,100.0,75.0,50.0,0.55,YMYL 위험도 high: 전문가 검수·출처 표기 필수
11,F04,가족,부모님 치매 초기 신호와 치매안심센터 활용법,80.4,,,100.0,100.0,75.0,50.0,0.55,YMYL 위험도 high: 전문가 검수·출처 표기 필수
12,W02,일·인생2막,50대 재취업의 현실과 준비법,79.5,,,100.0,75.0,75.0,50.0,0.55,
13,H08,건강,치과 비용 아끼는 건강보험 혜택,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
14,H09,건강,중년 뱃살과 대사증후군 5가지 기준,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
15,M01,돈·노후,국민연금 언제 받을까: 조기수령 vs 연기수령,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
16,M05,돈·노후,집 한 채로 노후 준비하는 주택연금,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
17,M07,돈·노후,자녀에게 미리 줄 때 알아야 할 증여세 기초,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
18,W01,일·인생2막,권고사직·퇴직 후 실업급여 제대로 받기,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
19,W04,일·인생2막,퇴직 1년 전 꼭 챙길 체크리스트,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
20,L02,생활·디지털,투자 리딩방·고수익 사기 구별법,78.8,,,75.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
21,P03,마음,중년의 친구 관계 정리,77.3,,,100.0,50.0,100.0,50.0,0.55,
22,P04,마음,혼자여도 괜찮은 중년의 시간,77.3,,,100.0,50.0,100.0,50.0,0.55,
23,P05,마음,50대에 알게 된 인생 후반전의 행복,77.3,,,100.0,50.0,100.0,50.0,0.55,
24,N01,추억·공감,그 시절 월급과 물가 지금과 비교,77.3,,,100.0,50.0,100.0,50.0,0.55,
25,W05,일·인생2막,퇴직금으로 창업하기 전 확인할 것,76.5,,,100.0,75.0,75.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
26,L03,생활·디지털,중년을 위한 AI 생활 활용법,75.0,,,75.0,75.0,100.0,50.0,0.55,
27,H04,건강,걷기만으로는 부족한 50대 근감소,74.3,,,75.0,100.0,75.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
28,H06,건강,노안과 백내장 구별법,74.3,,,75.0,100.0,75.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
29,M06,돈·노후,실손보험 세대별 차이와 전환 판단법,74.3,,,75.0,100.0,75.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
30,H01,건강,갱년기 증상 남녀 모두 온다,73.5,,,100.0,75.0,75.0,50.0,0.55,YMYL 위험도 high: 전문가 검수·출처 표기 필수
31,P01,마음,중년 우울과 번아웃 신호,73.5,,,100.0,75.0,75.0,50.0,0.55,YMYL 위험도 high: 전문가 검수·출처 표기 필수
32,N02,추억·공감,IMF 외환위기를 겪은 세대의 돈 습관,73.2,,,100.0,75.0,75.0,15.0,0.55,
33,F01,가족,사춘기 자녀와 싸우지 않고 대화하는 법,72.7,,,100.0,50.0,75.0,50.0,0.55,
34,F02,가족,성인 자녀의 독립: 어디까지 도와야 할까,72.7,,,100.0,50.0,75.0,50.0,0.55,
35,F05,가족,샌드위치 세대(마처세대)의 부양 부담,72.7,,,100.0,50.0,75.0,50.0,0.55,
36,F07,가족,아이들 떠난 뒤 부부 둘만 남았을 때,72.7,,,100.0,50.0,75.0,50.0,0.55,
37,L04,생활·디지털,꼭 깔아둘 공공 앱과 스마트폰 설정,72.7,,,50.0,100.0,100.0,50.0,0.55,
38,N03,추억·공감,삐삐부터 스마트폰까지 우리가 겪은 변화,72.7,,,100.0,50.0,75.0,50.0,0.55,
39,M08,돈·노후,올해 달라진 연금·복지 제도 총정리,72.5,,,75.0,100.0,100.0,15.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
40,M09,돈·노후,사교육비와 노후자금 사이,70.9,,,100.0,50.0,100.0,15.0,0.55,
41,P02,마음,빈 둥지 증후군: 아이들 떠난 뒤 허전함,70.9,,,100.0,50.0,100.0,15.0,0.55,
42,M02,돈·노후,퇴직금과 퇴직연금(DB·DC·IRP) 한 번에 정리,69.7,,,50.0,100.0,100.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
43,H07,건강,팔이 안 올라가는 오십견 vs 회전근개 파열,67.5,,,75.0,75.0,75.0,50.0,0.55,YMYL 위험도 med: 전문가 검수·출처 표기 필수
44,W03,일·인생2막,중년에 따는 자격증 현실 검증,64.1,,,75.0,75.0,75.0,15.0,0.55,
45,F06,가족,명절 가족 갈등 현명하게 넘기는 법,64.1,,,100.0,25.0,100.0,15.0,0.55,
